Timestamp,Kategori,Jenjang (Untuk Kategori Mahasiswa),Afiliasi Institusi/Lembaga/PT,Riset/Menekuni Bidang AI sejak,Kategori Bidang AI yang Ditekuni,"Detil Kategori (eg. Robotics, Face/Speech Recognition etc.)",Klaster Riset / Aplikasi AI yg Ditekuni,(Estimasi) Jumlah Publikasi di Bidang AI ,Jenis Publikasi di Bidang AI,Jumlah Produk / Startup Bidang AI,Jumlah Paten / Hak Cipta / HKI di Bidang AI,Sumber Pendanaan Aktivitas / Riset (Jika Ada),Catatan/Masukan
3/19/2020 6:31:42,Dosen / Peneliti Perguruan Tinggi,S1 - Tugas Akhir,Institut Teknologi dan Bisnis Asia Malang,2-5 Tahun,"Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)",Data Mining,Teknologi Informasi dan Komunikasi,4,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/19/2020 6:36:57,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,Sepuluh Nopember Institute of Technology,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Multispectral Computer Vision,Teknologi Informasi dan Komunikasi,2,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/19/2020 6:37:45,Dosen / Peneliti Perguruan Tinggi,,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.), Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)",Deep learning for computer vision (sementara),Teknologi Informasi dan Komunikasi,0,Belum ada,0 (Belum Ada),0 (Belum Ada),Belum ada,"Perlu opsi/pertanyaan kuesioner untuk entry level (yang baru memulai riset), misal: kategori bidang AI yang tengah/akan ditekuni"
3/19/2020 6:46:47,Dosen / Peneliti Perguruan Tinggi,,Universitas Negeri Surabaya,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Predictive Intelligence (Predictive Maintenance, Cyber Threat Hunting, Healthcare Biometric, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.), Neuro Cognition","Biomedis, neuro cognition, Machine Learning, pattern recognition","Pangan dan Kesehatan, Pendidikan (cara kerja otak, dan kognitif)",Lebih dari 20,"Konferensi, Jurnal",2,2,Institusi atau Universitas,"Sebaiknya diberikan penjelasan lebih eksplisit untuk apa survey ini dibuat, apakah untuk riset saudara atau untuk membuat databased peneliti AI. Dan sebaiknya disebutkan dimana publikasi terbuka dari survey ini. :)"
3/19/2020 6:53:33,Dosen / Peneliti Perguruan Tinggi,,Universitas 17 Agustus 1945 Surabaya,Lebih dari 5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)","Medical Imaging, License Plate Recognition, Microstructure Image Analysis","Teknologi Informasi dan Komunikasi, Rekayasa Transportasi dan Energi, Pangan dan Kesehatan, Material Maju",4,"Konferensi, Jurnal, Book Chapter",0 (Belum Ada),1,Dikti,
3/19/2020 7:07:40,Dosen / Peneliti Perguruan Tinggi,,IAI,Lebih dari 5 Tahun,"Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.), Infrastruktur AI (Hardware, Open Source Frameworks, Syntetic Training Data, Cloud, Edge Computing, etc.)",Smart Agriculture and Social Studies,"Pangan dan Kesehatan, Ilmu Sosial, Politik, Agama",3,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/19/2020 7:14:05,Dosen / Peneliti Perguruan Tinggi,,Sepuluh Nopember Institute of Technology,Lebih dari 5 Tahun,"Speech Processing & NLP (Language Translation, Smart Speaker, Chatbot / Conversational Agent, Sentiment Analysis, E-Commerce Search, etc.)",Information Retrieval,Teknologi Informasi dan Komunikasi,11-20,"Konferensi, Jurnal",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/19/2020 8:36:15,Dosen / Peneliti Perguruan Tinggi,S3 - Disertasi,Universitas Tama Jagakarsa,2-5 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Image processing for jumlah kendaraan,Rekayasa Transportasi dan Energi,2,"Jurnal, Scopus",0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,Rekayasa trafic
3/19/2020 8:47:54,Mahasiswa,S1 - Tugas Akhir,Bandung Institute of Technology,Kurang dari 1 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.)",Medical Image Segmentation,Pangan dan Kesehatan,0,belum publikasi,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
3/19/2020 8:54:17,Mahasiswa,S2 - Tesis,University of Indonesia,1-2 Tahun,"Computer Vision (Facial Recognition, Medical Imaging, Autonomous Navigation, Crop Monitoring, License Plate Recognition, Object Detection/Classification, etc.), Arsitektur AI (GANs, Reinforcement Learning, Federated Learning, Capsule Networks, etc.)",Facial emotion processing,Teknologi Informasi dan Komunikasi,1,Konferensi,0 (Belum Ada),0 (Belum Ada),Institusi atau Universitas,
